Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Road biking duration (ms)
13:15:00.000+02:00,13:30:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
13:30:00.000+02:00,13:45:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
13:45:00.000+02:00,14:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,,89.9000015258789,89.9000015258789,89.9000015258789,,
14:00:00.000+02:00,14:15:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
14:15:00.000+02:00,14:30:00.000+02:00,8,49.251946344207404,517.6409714410152,3.0,3,,,,,1.108209696498679,1.475296127935602,0.3212687118954539,737,,,,415465,
14:30:00.000+02:00,14:45:00.000+02:00,2,27.793318560422,101.03797421118574,,,,,,,1.123659891955478,1.3254221045206476,1.0565325093760285,156,,,,127868,
14:45:00.000+02:00,15:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
15:00:00.000+02:00,15:15:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
15:15:00.000+02:00,15:30:00.000+02:00,2,18.25260444978873,38.62987775254025,,,,,,,0.32126870771794075,0.32126870771794075,0.32126870771794075,60,,,,,
15:30:00.000+02:00,15:45:00.000+02:00,4,20.731647105697874,108.3885085612863,,,,,,,0.3216960956846074,0.32570265104127666,0.3212687002372778,169,,,,33225,
15:45:00.000+02:00,16:00:00.000+02:00,9,62.832384840747466,734.1233178410313,6.0,6,,,,,1.1710646976813992,1.5541144922680348,0.3212686729429702,1034,,,,597474,
16:00:00.000+02:00,16:15:00.000+02:00,,18.25260444978873,2.3886721954467927,,,,,,,,,,16,,,,,
16:15:00.000+02:00,16:30:00.000+02:00,,18.25260444978873,,,,,,,,,,,28,,,,,
16:30:00.000+02:00,16:45:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
16:45:00.000+02:00,17:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,7,,,,,
17:00:00.000+02:00,17:15:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
17:15:00.000+02:00,17:30:00.000+02:00,,18.25260444978873,26.98657114125981,,,,,,,0.3212687118954539,0.3212687118954539,0.3212687118954539,42,,,,,
17:30:00.000+02:00,17:45:00.000+02:00,1,18.25260444978873,41.76493152814018,,,,,,,0.32126867622592165,0.32126867622592165,0.32126867622592165,81,,,,,
17:45:00.000+02:00,18:00:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
18:00:00.000+02:00,18:15:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
18:15:00.000+02:00,18:30:00.000+02:00,9,46.1526346726174,393.9865606865329,3.0,3,,,,,0.9766580580471003,1.4626419448419727,0.3212686954052708,575,,,,373926,
18:30:00.000+02:00,18:45:00.000+02:00,4,32.48948359931054,196.10490101741178,1.0,1,,,,,0.8779727937030547,1.5945365079179272,0.36144738503449403,292,,,,190807,
18:45:00.000+02:00,19:00:00.000+02:00,13,43.42468046516234,1174.9618606889273,17.0,11,,,,,1.5390910158077478,2.1230242770672842,0.3197515976941003,1537,,,,337365,
19:00:00.000+02:00,19:15:00.000+02:00,7,37.15354195067471,559.4989931873635,6.0,4,,,,,0.8763437173499528,1.919393142708341,0.32126869540527087,757,,,,253317,
19:15:00.000+02:00,19:30:00.000+02:00,,18.25260444978873,10.903178568735973,,,,,,,0.31055974726052954,0.31055974726052954,0.31055974726052954,17,,,,,
19:30:00.000+02:00,19:45:00.000+02:00,,18.25260444978873,7.7304062668958,,,,,,,,,,12,,,,,
19:45:00.000+02:00,20:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
20:00:00.000+02:00,20:15:00.000+02:00,,18.25260444978873,15.420897795005605,,,,,,,0.25701496325009343,0.25701496325009343,0.25701496325009343,38,,,,,
20:15:00.000+02:00,20:30:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
20:30:00.000+02:00,20:45:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
20:45:00.000+02:00,21:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
21:00:00.000+02:00,21:15:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
21:15:00.000+02:00,21:30:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
21:30:00.000+02:00,21:45:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
21:45:00.000+02:00,22:00:00.000+02:00,,18.25260444978873,,,,,,,,,,,,,,,,
22:00:00.000+02:00,22:15:00.000+02:00,1,18.25260444978873,29.55672077376074,,,,,,,0.3212686969108962,0.3212686969108962,0.3212686969108962,67,,,,,
22:15:00.000+02:00,22:30:00.000+02:00,,18.252604449788727,,,,,,,,,,,2,,,,,
22:30:00.000+02:00,22:45:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
22:45:00.000+02:00,23:00:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
23:00:00.000+02:00,23:15:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
23:15:00.000+02:00,23:30:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
23:30:00.000+02:00,23:45:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
23:45:00.000+02:00,00:00:00.000+02:00,,18.252604449788727,,,,,,,,,,,,,,,,
