time,double_latitude,double_longitude,double_speed,user
1364485409,43.7067145,-72.289138,0.0,gps_u01
1364486609,43.7066872,-72.2891309,0.0,gps_u01
1364487809,43.7066775,-72.2891331,0.0,gps_u01
1364488992,43.7067205,-72.28885212,0.0,gps_u01
1364490209,43.7066448,-72.2890746,0.0,gps_u01
1364491410,43.7019059,-72.2881904,0.0,gps_u01
1364492609,43.7017311,-72.2882675,0.0,gps_u01
1364493809,43.7017642,-72.288214,0.0,gps_u01
1364495009,43.7017305,-72.2882486,0.0,gps_u01
1364496209,43.7017301,-72.2882588,0.0,gps_u01
1364497409,43.7017257,-72.2882466,0.0,gps_u01
1364498609,43.7017833,-72.2881929,0.0,gps_u01
1364499809,43.7017241,-72.2881482,0.0,gps_u01
1364501009,43.7017655,-72.2881817,0.0,gps_u01
1364502209,43.701737,-72.2882188,0.0,gps_u01
1364503409,43.7017663,-72.2882022,0.0,gps_u01
1364504526,43.70306598,-72.2882552,2.6925824,gps_u01
1364505804,43.70669042,-72.28910197,1.5,gps_u01
1364507009,43.7066389,-72.2890495,0.0,gps_u01
1364508211,43.7065225,-72.2890513,0.0,gps_u01
1364509409,43.706653,-72.2890243,0.0,gps_u01
1364510609,43.706654,-72.2889414,0.0,gps_u01
1364511809,43.706638,-72.289053,0.0,gps_u01
1364511810,43.706638,-72.289053,0.0,gps_u01
1364513015,43.7041418,-72.2898769,0.0,gps_u01
1364515409,43.7066381,-72.2890527,0.0,gps_u01
1364516609,43.7066528,-72.2890236,0.0,gps_u01
1364517809,43.7066531,-72.2890233,0.0,gps_u01
1364519009,43.7066229,-72.2890462,0.0,gps_u01
1364520209,43.706648,-72.2889707,0.0,gps_u01
1364521409,43.7066356,-72.2889463,0.0,gps_u01
1364522609,43.7066393,-72.2890383,0.0,gps_u01
1364523809,43.7066572,-72.2890663,0.0,gps_u01
1364525009,43.7066544,-72.2890005,0.0,gps_u01
1364526209,43.7066509,-72.289036,0.0,gps_u01
1364527409,43.706656,-72.2890406,0.0,gps_u01
1364528609,43.7066778,-72.2890483,0.0,gps_u01
1364529806,43.70698183,-72.28908921,0.0,gps_u01
1364531009,43.7066948,-72.2890445,0.0,gps_u01
1364532209,43.7066767,-72.2890867,0.0,gps_u01
1364533409,43.7066545,-72.2890442,0.0,gps_u01
1364534609,43.7066665,-72.289074,0.0,gps_u01
1364535809,43.7066707,-72.2890313,0.0,gps_u01
1364537005,43.70674875,-72.28916992,0.0,gps_u01
1364538209,43.7066798,-72.2891114,0.0,gps_u01
1364539409,43.7066702,-72.2890956,0.0,gps_u01
1364540605,43.70688202,-72.28900067,0.0,gps_u01
1364541809,43.7066732,-72.2890435,0.0,gps_u01
1364543004,43.70660167,-72.28917956,0.0,gps_u01
1364544209,43.7066766,-72.2890573,0.0,gps_u01
1364545409,43.7066759,-72.2890935,0.0,gps_u01
1364546602,43.70668906,-72.28882874,0.559017,gps_u01
1364547772,43.70661216,-72.28914404,0.0,gps_u01
1364549011,43.70677274,-72.28925833,0.0,gps_u01
